Assignment..Homework..1..Real.,Assignment..Homework..2..Real.,Assignment..Homework..1.Correction..Real.,Assignment..Homework..2.Correction..Real.,Assignment..Homework..3..Real.,Assignment..Homework..3.Correction..Real.,Assignment..Homework..4..Real.,Assignment..Quiz.1..Real.,Assignment..Homework..4.Correction..Real.,Assignment..Homework..5..Real.,Assignment..Homework..5.Correction..Real.,Assignment..Homework..6..Real.,Assignment..Homework..6.Correction..Real.,Assignment..Homework..7..Real.,Assignment..Quiz.2..Real.,Assignment..Computer.Assignment..Real.,Assignment..Homework..7.Correction..Real.,Assignment..Midterm.Exam..Real.,Assignment..Final.Exam..Real.,Course.total..Real.
72,89.1,-,-,84,-,100,6.5,-,69,-,94,-,70,10,67,-,26,26,79.29
100,67.5,-,-,54,-,0,8,-,0,-,40,-,54,3.5,46,-,14,19,45.11
90,65.75,-,-,70,-,91,8.5,-,52,-,97,-,69,10,68,-,19,23,73.69
28,12,-,-,53,-,0,3,-,26,-,-,-,70,0,63,-,-,3,33.51
30,61.85,-,-,81,-,0,3,-,50,-,-,-,74,0.5,0,-,9.5,19,41.11
66,60.2,-,-,70,-,0,7,-,43,-,-,-,0,9.5,56.7,-,24,24,45.05
100,86.25,-,-,77.5,-,100,7.5,-,53,-,75,-,73,10,82,-,18,27,78.81
94,82.6,-,-,80.5,-,79,8,-,60,-,100,-,72,9,55,-,11,21,74.68
67,74,-,-,83,-,40,6.5,-,0,-,-,-,0,6.5,53,-,14,19,45.38
100,77.9,-,-,85.5,-,100,9,-,52,-,97,-,70,10,78,-,23.5,21,80.43
75,80.8,-,-,17,-,66,8,-,27,-,80,-,64,5,68,-,27,23,60.09
60,13,-,-,64,-,30,-,-,19,-,-,-,74,6,0,-,7,9.5,35.76
93,86.1,-,-,86,-,84,9,-,33,-,94,-,75,6,68,-,28,34,77.34
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,39.1,-,-,33,-,57,4,-,0,-,40,-,0,0,68,-,15,4,36.23
-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,93,-,21,23,28.54
0,0,-,-,-,-,0,8,-,0,-,-,-,0,-,0,-,23.5,23,7.9
87,72.8,-,-,-,-,80,-,-,64,-,86,-,0,7,0,-,29.5,29,57.63
96,75,-,-,70,-,100,8,-,45,-,85,-,83,6,0,-,17.5,22,67.5
93,54.8,-,-,-,-,0,8.5,-,0,-,-,-,0,10,68,-,30,18,40.33
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,89.1,-,-,100,-,84,8.5,-,54,-,58,-,62,10,92,-,28,30,76.4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,57.3,-,-,81,-,0,7,-,0,-,77,-,0,4,61,-,11.5,12,39.53
100,68,-,-,40,-,77,8,-,0,-,48,-,51,7,0,-,24,22,49.44
-,-,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,0
74.5,60,-,-,83,-,76,6.5,-,27,-,70,-,69,1,68,-,15,7,61.89
62.5,53,-,-,72,-,85,5.5,-,43,-,74.5,-,66,7.5,64,-,18,22,63.67
77,67.5,-,-,85,-,90,5,-,58,-,40,-,86,7,53,-,17.5,22,67.56
86,68.9,-,-,55,-,64,3,-,35,-,63,-,55,7.5,63,-,4,22,58.49
97.5,88.2,-,-,89,-,100,9,-,92,-,94,-,90,10,70,-,30,32,89.08
87,84.5,-,-,95,-,100,10,-,74,-,100,-,91,9,67,-,21,43,86.83
98,61,-,-,76,-,64,7,-,35,-,77,-,50,3.5,64.6,-,12,17,62.79
90,76.65,-,-,20.5,-,60,-,-,68,-,-,-,81,8.5,68,-,29,44,69.07
88,81,-,-,93,-,100,9,-,73,-,91,-,81,8.5,80,-,23,41,85.39
61,40,-,-,72,-,68,7.5,-,32,-,95,-,77,0,57,-,10.5,11,59
92,75.2,-,-,75,-,100,9,-,66,-,90,-,0,8,68,-,26,42,72.36
89.5,68.3,-,-,75,-,50,8,-,26,-,-,-,48,-,68,-,23,15,59.59
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,57.3,-,-,74,-,53,-,-,32,-,-,-,40,-,65,-,19,20,56.32
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,72,-,-,91,-,30,7,-,56,-,90.5,-,83,10,83,-,13,27,72.61
93,75,-,-,83,-,94,8,-,75,-,93,-,81,5,68,-,10.5,22,78.61
91,71,-,-,62.5,-,88,6,-,76,-,93,-,77,7,63,-,13.5,16,73.78
90,77,-,-,85.5,-,86,8,-,91,-,89,-,0,5,63,-,26,18,70.94
100,66.3,-,-,75,-,92,8.5,-,49,-,77,-,66,2.5,68,-,16,12,70.26
79,0,-,-,-,-,0,4,-,0,-,-,-,59,4,55,-,18.5,17,33.79
100,93.1,-,-,100,-,100,9.5,-,65,-,100,-,85,6,81,-,30,34,89.29
