Assignment..Homework..1..Real.,Assignment..Homework..1.R.Code..Real.,Assignment..Homework..2..Real.,Assignment..Homework..1.Correction..Real.,Assignment..Homework..2.R.Code..Real.,Assignment..Homework..2.Correction..Real.,Assignment..Homework..3..Real.,Assignment..Quiz.1..Real.,Assignment..Homework..3.Correction..Real.,Assignment..Homework..4..Real.,Assignment..Homework..4.Correction..Real.,Assignment..Homework..5..Real.,Assignment..Homework..5.Correction..Real.,Assignment..Quiz.2..Real.,Assignment..Homework..6..Real.,Assignment..Homework..6.R.Code..Real.,Course.total..Real.
37.33,NA,0,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,NA,NA,22.22
100,NA,69.5,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,9,NA,NA,87.79
113,NA,78,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,8,NA,NA,98.12
105,NA,50.5,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,7.5,NA,NA,80.28
110,NA,40,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,10,NA,NA,79.58
110,NA,74,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9.5,NA,NA,95.54
96.9,NA,77,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,10,NA,NA,90.56
68.4,NA,71,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,9.5,NA,NA,74.13
103.33,NA,80,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,7.5,NA,NA,94.29
93.33,NA,80,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,6.5,NA,NA,86.54
113,NA,74,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,91.55
105,NA,73.5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,8.5,NA,NA,90.61
108.33,NA,76,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9.5,NA,NA,95.7
113,NA,72,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,9.5,NA,NA,95.54
103.67,NA,64,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,6.5,NA,NA,86.46
50,NA,64,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,7,NA,NA,59.86
20,NA,80,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,10,NA,NA,53.52
106,NA,73,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,9.5,NA,NA,92.02
20,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,50.74
113,NA,78.5,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9,NA,NA,98.83
105,NA,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,7,NA,NA,54.46
101.33,NA,76.75,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,9.5,NA,NA,91.82
